书名,出版信息,当前价格,星级,评论数
" [正版现货]白话机器学习算法,(新加坡)黄莉婷,(新加坡)苏川集,人民邮电出版社,9787115506641 满5件包邮","(新加坡)黄莉婷,(新加坡)苏川集 /2019-02-01  /人民邮电出版社",?49.16,width: 0%;,0条评论
" 白话机器学习算法 (新加坡)黄莉婷,(新加坡)苏川集人民邮电出版社9787115506641FX 正版图书，可开发票。","(新加坡)黄莉婷,(新加坡)苏川集 /2019-02-01  /人民邮电出版社",?57.90,width: 0%;,0条评论
" 白话机器学习算法 (新加坡)黄莉婷,(新加坡)苏川集人民邮电出版社9787115506641 正版书籍，放心下单。","(新加坡)黄莉婷,(新加坡)苏川集 /2019-02-01  /人民邮电出版社",?47.85,width: 0%;,0条评论
" 精通机器学习 基于R 第2版,考瑞?莱斯米斯特尔,人民邮电出版社【正版图书 放心购 】 海量好书 达额立减 售后无忧",[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?67.52,width: 0%;,0条评论
" 实用机器学习 苏尼拉?格拉普蒂（SunilaGollapudi）著,张世武 机械工业出版社 9787111598886 ","苏尼拉?格拉普蒂（SunilaGollapudi）著,张世武 /2018-06-01  /机械工业出版社",?158.40,width: 0%;,0条评论
" 【新华书店,正品】精通机器学习 基于R 第2版,人民邮电出版社 【全国多仓就近发货，下单即发，速度保障】",[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?60.02,width: 0%;,0条评论
 精通机器学习 基于R 第2版 [美]考瑞?莱斯米斯特尔 人民邮电出版社 9787115477781 新书店购书无忧有保障！,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?69.00,width: 0%;,0条评论
 精通机器学习：基于R [美] 考瑞?莱斯米斯特尔 著，陈光欣 译 9787115477781 ,[美] 考瑞?莱斯米斯特尔 著，陈光欣 译 /2018-03-01  /人民邮电出版社,?79.00,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用清华大学出版社9787302415763【直发】 正版保障 达额立减 闪电发货 80%城市次日达！,祁瑞华 著 /2000-01-01  /清华大学出版社,?59.36,width: 0%;,0条评论
" 【正版现货】实用机器学习 Henrik Brink, Joseph W. Richards, Mark 9787111 正版图书质量 保证七天无理由退货让您购物无忧 全场五件起包邮 70%城市次日达","Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?69.28,width: 0%;,0条评论
" 实用机器学习 苏尼拉?格拉普蒂（SunilaGollapudi）著,张世武 机械工业出版社 正版现货，有问题请联系在线客服！","苏尼拉?格拉普蒂（SunilaGollapudi）著,张世武 /2018-06-01  /机械工业出版社",?73.00,width: 0%;,0条评论
" 【全新正版】实用机器学习 Henrik Brink, Joseph W. Richards, Mark Fethero ","Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?68.38,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用祁瑞华 著清华大学出版社9787302415763【质量保证】 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?55.31,width: 0%;,0条评论
 实用机器学习 苏尼拉?格拉普蒂（SunilaGollapudi）著，张世武 译 机械工业出版社【正版图书，售后无忧，放 保证正版现货图书，放心购买，有任何问题及时联系在线客服!,苏尼拉?格拉普蒂（SunilaGollapudi）著，张世武 /2018-06-01  /机械工业出版社,?64.81,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用祁瑞华 著9787302415763【限时秒杀】 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?60.10,width: 0%;,0条评论
 精通机器学习 基于R 第2版 [美]考瑞?莱斯米斯特尔人民邮电出版社 因书籍批量采集上架，套装书籍默认为其中一本。,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?67.35,width: 0%;,0条评论
" 白话机器学习算法 (新加坡)黄莉婷,(新加坡)苏川集 (有问题联系在线客服）","(新加坡)黄莉婷,(新加坡)苏川集 /2019-02-01  /人民邮电出版社",?46.10,width: 0%;,0条评论
 精通机器学习 基于R 第2版 [美]考瑞?莱斯米斯特尔 人民邮电出版社 正版书籍，放心下单,[美] 考瑞?莱斯米斯特尔 著，陈光欣 译 /2018-03-01  /人民邮电出版社,?53.00,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用祁瑞华 著清华大学出版社【下单即发】 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?58.45,width: 0%;,0条评论
 实用机器学习 苏尼拉?格拉普蒂（SunilaGollapudi）著，张世武 译 9787111598886 机械工业出 正版书籍，放心下单！,苏尼拉?格拉普蒂（SunilaGollapudi）著，张世武 /2018-06-01  /机械工业出版社,?254.00,width: 0%;,0条评论
 实用机器学习 【正版书籍，有问题请随时联系在线客服】(支持7天无理由退货！！),"Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?40.00,width: 0%;,0条评论
 精通机器学习 基于R 第2版[美]考瑞?莱斯米斯特尔人民邮电出版社9787115477781 新书店购书无忧有保障！,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?61.00,width: 0%;,0条评论
" 实用机器学习,Henrik Brink, Joseph W. Richards, Mark Fetherolf,机械工 [正版书籍,放心购买]","Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?33.81,width: 0%;,0条评论
 实用机器学习 机械工业出版社 [有问题请联系在线客服],"Henrik Brink, Joseph W. Richar /2017-06-01  /机械工业出版社",?36.50,width: 0%;,0条评论
 统计机器学习-误差分析与应用 陈洪 9787307194267 武汉大学出版社 【正版现货 可开发票 下单即发】请看详情，有问题咨询在线客服或者电话联系我们！,陈洪 /2017-08-01  /武汉大学出版社,?30.00,width: 0%;,0条评论
 实用机器学习 苏尼拉?格拉普蒂（SunilaGollapudi）著，张世武 译 (有问题联系在线客服）,苏尼拉?格拉普蒂（SunilaGollapudi）著，张世武 /2018-06-01  /机械工业出版社,?63.00,width: 0%;,0条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用祁瑞华 著9787302415763清华大学出版社【直发】 ,祁瑞华 著 /2000-01-01  /清华大学出版社,?54.75,width: 0%;,0条评论
" 白话机器学习算法 (新加坡)黄莉婷,(新加坡)苏川集 9787115506641 ","(新加坡)黄莉婷,(新加坡)苏川集 /2019-02-01  /人民邮电出版社",?45.42,width: 0%;,0条评论
 实用机器学习 苏尼拉?格拉普蒂（SunilaGollapudi）著，张世武 译机械工业出版社 正版现货，有问题请联系在线客服！,苏尼拉?格拉普蒂（SunilaGollapudi）著，张世武 /2018-06-01  /机械工业出版社,?85.05,width: 0%;,0条评论
" 实用机器学习 Henrik Brink, Joseph W. Richards, Mark 9787111569220 ","Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?40.02,width: 0%;,0条评论
" 【正版全新直发】实用机器学习 Henrik Brink, Joseph W. Richards, Mark 97871 全店商品满3件包邮","Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?68.98,width: 0%;,0条评论
" 【新华书店】实用机器学习 9787111569220 Henrik Brink, Joseph W. Richards 正版现货 满5件包邮","Henrik Brink, Joseph W. Richar /2017-06-01  /机械工业出版社",?62.33,width: 0%;,0条评论
 精通机器学习 基于R 第2版 [美]考瑞?莱斯米斯特尔 人民邮电出版社 9787115477781 【正版品好 可开发票 支持退货 多买优惠】请看详情，有问题咨询在线客服或者电话联系我们！,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?68.00,width: 0%;,0条评论
 精通机器学习 基于R 第2版 [美]考瑞?莱斯米斯特尔 新书店，多仓发货，购书无忧有保障！,[美]考瑞?莱斯米斯特尔 /2018-03-01  /人民邮电出版社,?66.00,width: 0%;,0条评论
 实用机器学习【新华书店 品质担当】 评价有礼 部分书籍满88包邮 全国就近发货 85%城市次日送达！,"Henrik Brink, Joseph W. Richards, Mark /2017-06-01  /机械工业出版社",?63.50,width: 0%;,0条评论
" 【正版现货】白话机器学习算法9787115506641 (新加坡)黄莉婷,(新加坡)苏川集 人民邮电出版社 此书为正版图书，正常48小时内发货，提供发票，请放心购买，团购量大请联系在线客服或15671107107","(新加坡)黄莉婷,(新加坡)苏川集 /2019-02-01  /人民邮电出版社",?49.39,width: 0%;,0条评论
 TensorFlow机器学习实战指南 TensorFlow,[美]尼克?麦克卢尔（Nick McClure） /2017-09-20  /机械工业出版社,?54.50,width: 100%;,667条评论
 包邮 机器学习：使用OpenCV和Python进行智能图像处理|8053731 ,[美]迈克尔?贝耶勒（Michael Beyeler） /2018-11-05  /机械工业出版社,?44.90,width: 100%;,3条评论
 Python金融大数据风控建模实战：基于机器学习 结合机器学习算法实战信用评分卡模型的构建，手把手带领读者零门槛学习金融大数据风控建模的全流程,王青天 孔越 /2020-06-12  /机械工业出版社,?83.20,width: 100%;,57条评论
 百面深度学习 算法工程师带你去面试 机器学习算法面试宝典剑指offer 人工智 ,诸葛越 江云胜 /2020-07-01  /人民邮电出版社,?97.02,width: 100%;,101条评论
 商业数据科学：数据价值与机器学习实战 一本通俗易懂的商业数据书籍,张诚 张琦 /2019-02-18  /机械工业出版社,?41.20,width: 100%;,108条评论
 深入理解AutoML和AutoDL：构建自动化机器学习与深度学习平台 资深联邦学习专家撰写，腾讯、阿里、微众银行、字节跳动、浙江大学、新智元等企业界、学术界、媒体界的8位资深专家联袂推荐；从基础理论、核心原理、前沿算法等多个维度全面解读AutoML、AutoDL和元学习,王健宗，瞿晓阳 著 /2019-08-30  /机械工业出版社,?69.20,width: 100%;,628条评论
 实用机器学习,"孙亮,黄倩 /2017-05-01  /人民邮电出版社",?22.99,width: 0%;,24条评论
 【按需印刷】-生物信息学中的机器学习分析方法 按需印刷商品，发货时间20个工作日，非质量问题不接受退换货。,"王雪松,程玉虎,张林 /2016-03-01  /科学出版社",?69.00,width: 100%;,31条评论
 同济博士论丛――基于机器学习的蛋白质相互作用与功能预测 ,邓磊/关佶红 /2018-05-16  /同济大学出版社,?58.40,width: 0%;,15条评论
 基于免疫计算的机器学习方法及应用 ,徐雪松 著 /2017-08-01  /电子工业出版社,?33.80,width: 0%;,31条评论
 多维粒子群优化在机器学习与模式识别中的应用 ,"彭鹏菲,董银文,龚立 /2017-09-01  /国防工业出版社",?81.20,width: 100%;,28条评论
 微软Azure机器学习实战手册 ,【美】千贺大司 山本和贵 大泽文孝 著 /2017-11-01  /中国人民大学出版社,?50.30,width: 100%;,58条评论
 Python聊天机器人开发：基于自然语言处理与机器学习 ChatBot极简入门|高度定制化|高度智能化|一站到底的完整实战|全线覆盖的知识体系,（印）Sumit Raj（苏米特?拉杰） /2020-05-01  /电子工业出版社,?30.70,width: 100%;,104条评论
 快乐机器学习,王圣元  /电子工业出版社,?83.30,width: 0%;,1条评论
 人工智能开发丛书--数据挖掘与机器学习：PMML建模（上） 数据挖掘 机器学习 PMML 建模 人工智能 预测模型标记语言,潘风文，黄春芳 著 /2020-02-01  /化学工业出版社,?47.50,width: 0%;,16条评论
 终极算法：机器学习和人工智能如何重塑世界,（美）佩德罗?多明戈斯 /2014-01-23  /中信出版社,?19.99,width: 100%;,1702条评论
" Python+Spark 2.0+Hadoop机器学习与大数据实战 浅显易懂的原理介绍加上Step by Step 实机操作、范例程序详细解说,实现降低机器学习与大数据技术的学习门槛",林大贵 /2018-01-01  /清华大学出版社,?44.60,width: 80%;,1258条评论
 Java机器学习,（斯洛文尼亚）博思蒂安?卡鲁扎（Botjan Kalua） /2017-09-01  /人民邮电出版社,?24.99,width: 0%;,26条评论
 人脸识别与美颜算法实战：基于Python 机器学习与深度学习 【资深AI图像处理工程师力作！腾讯PCG光影研究室负责人傅斌等推荐！60余个实例详解人脸图像处理的算法原理、工具、框架和方法，以及从传统视频图像处理到机器学习与深度学习人脸图像处理】,方圆圆 /2020-04-10  /机械工业出版社,?69.20,width: 80%;,207条评论
 跟着迪哥学Python数据分析与机器学习实战 Python数据分析数据挖掘与机器学习深度学习基础入门实战教程 人气Python视频课程讲师多年经验汇总 30万学员共同的选择,唐宇迪 /2019-09-01  /人民邮电出版社,?62.70,width: 80%;,306条评论
 Java机器学习,"（美）乌黛?卡马特（Uday Kamath）,（美）克里希纳?肖佩拉（Krishna Choppella） /2018-09-01  /机械工业出版社",?45.00,width: 100%;,60条评论
 基于机器学习算法的分类知识发现及其在文本分析中的应用,祁瑞华 /2015-12-01  /清华大学出版社,?20.41,width: 0%;,8条评论
 基于机器学习的数据缺失值填补：理论与方法,"赖晓晨,张立勇,刘辉,吴霞  /机械工业出版社",?51.35,width: 0%;,0条评论
 TensorFlow深度学习算法原理与编程实战 人工智能机器学习技术丛书 机器学习宝典 TensorFlow速查大全 80个代码案例 可以拿来就用200多张图片 助你快速理解算法核心 囊括神经网络 深度强化学习 可视化 加速计算等内容,蒋子阳 /2019-01-01  /水利水电出版社,?49.40,width: 90%;,4154条评论
 R语言机器学习 第2版(影印版) (美)布雷特?兰茨 东南大学出版社 【正版图书 质量保证 下单速发 可开发票】,(美)布雷特?兰茨 /2017-04-01  /东南大学出版社,?71.00,width: 0%;,0条评论
" 正版图书 R语言机器学习(原书第2版) [印度]卡西克?拉玛苏布兰马尼安（KarthikPamasubra 【正版书籍,可开发票,有问题联系在线客服】",[印度]卡西克?拉玛苏布兰马尼安（KarthikPamasubra /2020-01-01  /机械工业出版社,?109.40,width: 0%;,0条评论
" R语言机器学习参考手册Yu-Wei、Chiu 著东南大学出版社9787564160630[正版保证,可开发票]【直发】 ",Yu-Wei、Chiu 著 /2000-01-01  /东南大学出版社,?26.87,width: 0%;,0条评论
 R语言机器学习参考手册Yu-Wei、Chiu 著东南大学出版社9787564160630【直发】 ,Yu-Wei、Chiu 著 /2000-01-01  /东南大学出版社,?27.30,width: 0%;,0条评论
" R语言机器学习:实用案例分析 [印]拉格哈夫?巴利(Raghav Bali),迪潘简?撒卡尔 机械工业出版社 【正版图书 下单请看详情 可开发票】","[印]拉格哈夫?巴利(Raghav Bali),迪潘简?撒卡尔 /2017-06-01  /机械工业出版社",?60.26,width: 0%;,0条评论
